date,REAINTRATREARAT1YE,CPIAUCSL_PC1,SPASTT01USM661N,FEDFUNDS,OT
2002-06-01,0.44413012,1.06922,53.9080699999999950,1.75,321.536
2002-07-01,0.25558851,1.46561,48.2562199999999990,1.73,313.567
2002-08-01,0.18227988,1.74746,48.7076500000000010,1.74,310.045
2002-09-01,-0.01541029,1.51600,46.7630399999999966,1.75,318.800
2002-10-01,-0.19993985,2.02703,45.5427699999999973,1.75,316.748
2002-11-01,-0.27816716,2.25352,47.8747499999999988,1.34,319.255
2002-12-01,-0.06171805,2.48027,47.5248500000000007,1.24,333.300
2003-01-01,-0.19006412,2.75746,47.3498999999999981,1.24,356.864
2003-02-01,-0.18728049,3.14607,44.3759900000000016,1.26,359.575
2003-03-01,-0.17478652,3.02521,44.2455300000000022,1.25,341.564
2003-04-01,-0.10768997,2.17513,46.6297599999999974,1.26,328.208
2003-05-01,0.08037008,1.89415,49.3649300000000011,1.26,355.405
2003-06-01,-1.22201890,1.94878,52.2927599999999941,1.22,356.912
2003-07-01,-0.09244847,2.05556,52.1439400000000006,1.01,350.765
2003-08-01,0.09684109,2.21607,52.2689700000000030,1.03,358.993
2003-09-01,0.05638458,2.37832,53.8006400000000014,1.01,378.859
2003-10-01,-0.19647062,2.04194,55.2053099999999972,1.01,379.093
2003-11-01,-0.16354861,1.92837,56.1324300000000065,1.00,390.200
2003-12-01,-0.60214837,2.03520,58.5198499999999981,0.98,407.674
2004-01-01,-0.13765171,2.02629,61.4746400000000008,1.00,414.495
2004-02-01,-0.40138788,1.68845,62.4027900000000031,1.01,404.730
2004-03-01,-0.06433799,1.74008,61.5773900000000012,1.00,405.976
2004-04-01,-0.41226559,2.29258,61.8444999999999965,1.00,404.850
2004-05-01,-0.50688531,2.89776,59.7237199999999930,1.00,383.953
2004-06-01,-0.99233744,3.16767,61.3312600000000003,1.03,391.780
2004-07-01,-0.44661319,2.93958,60.3898099999999971,1.26,398.441
2004-08-01,-0.49146606,2.54743,59.4989400000000046,1.43,400.133
2004-09-01,-1.33238490,2.53917,61.3456800000000015,1.61,405.402
2004-10-01,-0.21069296,3.19091,61.8998500000000007,1.76,420.210
2004-11-01,-0.04377570,3.62162,64.9732099999999946,1.93,439.059
2004-12-01,1.17700150,3.34232,66.8493600000000043,2.16,442.974
2005-01-01,0.34105223,2.84487,66.0967300000000080,2.28,424.080
2005-02-01,0.53033359,3.05303,67.8469999999999942,2.50,423.430
2005-03-01,0.58317037,3.20684,68.0807599999999979,2.63,434.355
2005-04-01,0.48126552,3.36179,66.2904099999999943,2.79,429.140
2005-05-01,0.66765132,2.86929,66.4794199999999904,3.00,422.903
2005-06-01,0.82656544,2.54103,67.7981999999999942,3.04,430.302
2005-07-01,1.09123600,3.06716,69.1415300000000030,3.26,424.745
2005-08-01,1.27134700,3.64693,70.0831599999999924,3.50,437.773
2005-09-01,1.97526410,4.74183,71.0115899999999982,3.62,455.936
2005-10-01,1.18130550,4.35010,69.0557400000000001,3.78,470.107
2005-11-01,1.27227230,3.33855,71.1132000000000062,4.00,476.668
2005-12-01,0.86637481,3.33855,72.9563800000000100,4.16,509.423
2006-01-01,2.02267770,4.01879,74.8948099999999783,4.29,549.433
2006-02-01,2.12014590,3.63825,75.3682500000000033,4.49,555.518
2006-03-01,3.24640900,3.41792,76.5587300000000113,4.59,557.215
2006-04-01,2.09117090,3.61384,78.1582099999999969,4.79,611.853
2006-05-01,2.29525250,3.97727,78.1904300000000063,4.94,676.769
2006-06-01,2.38412450,4.18172,74.7909499999999952,4.99,597.898
2006-07-01,2.16458710,4.10467,75.9610100000000017,5.24,633.093
2006-08-01,2.15325800,3.92657,77.6876800000000003,5.25,631.557
2006-09-01,2.76977870,2.01207,78.5390199999999936,5.25,600.150
2006-10-01,2.82775340,1.40633,81.0230899999999963,5.25,586.648
2006-11-01,3.35348870,1.96870,82.9852099999999950,5.25,626.825
2006-12-01,3.44532640,2.52398,85.1180699999999888,5.24,629.513
2007-01-01,2.29426100,2.07577,85.5371899999999954,5.25,630.352
2007-02-01,2.48278340,2.42026,87.5729299999999995,5.26,665.103
2007-03-01,2.08109970,2.79820,85.4208699999999936,5.26,655.891
2007-04-01,2.06176470,2.59292,89.4411199999999980,5.25,680.008
2007-05-01,1.45303580,2.70989,92.0211900000000043,5.25,668.310
2007-06-01,1.08686540,2.69277,92.6925200000000018,5.25,655.714
2007-07-01,1.90748410,2.31789,93.5409599999999983,5.26,665.266
2007-08-01,2.13083890,1.89745,88.4166900000000027,5.02,664.530
2007-09-01,1.80619640,2.83383,91.4896899999999960,4.94,710.645
2007-10-01,1.70921060,3.61070,95.1495299999999986,4.76,754.480
2007-11-01,2.19277410,4.37327,91.0900400000000019,4.49,808.311
2007-12-01,1.49314140,4.10881,91.8825800000000044,4.24,803.618
2008-01-01,1.12055790,4.29470,85.9213799999999992,3.94,887.784
2008-02-01,0.29817483,4.14296,84.6489499999999992,2.98,924.283
2008-03-01,0.63290718,3.97490,82.1694600000000008,2.61,971.055
2008-04-01,0.06574427,3.90376,85.9222199999999958,2.28,911.600
2008-05-01,-0.38171377,4.08841,88.2616900000000015,1.98,889.125
2008-06-01,-0.36084469,4.93597,84.2632699999999772,2.00,889.536
2008-07-01,-0.81728214,5.49751,78.9506499999999960,2.01,941.167
2008-08-01,-1.47387050,5.30802,78.3181799999999981,2.00,840.388
2008-09-01,-1.01600200,4.95332,74.0719399999999979,1.81,824.920
2008-10-01,1.19478250,3.73106,57.4156300000000073,0.97,812.815
2008-11-01,2.78386870,1.09992,51.7796099999999981,0.39,757.850
2008-12-01,2.54899290,-0.02223,51.7366200000000021,0.16,819.940
2009-01-01,2.02703460,-0.11359,51.3784700000000001,0.15,857.726
2009-02-01,2.07874390,0.00846,47.3830499999999972,0.22,939.763
2009-03-01,3.24525050,-0.44648,44.3909799999999990,0.18,925.989
2009-04-01,0.06938378,-0.57632,50.0141599999999968,0.15,892.663
2009-05-01,0.06749577,-1.01576,54.5226400000000027,0.18,926.855
2009-06-01,0.48903207,-1.22917,56.0599400000000045,0.21,947.807
2009-07-01,-0.10306189,-1.95876,56.3407199999999975,0.16,934.272
2009-08-01,-0.96508483,-1.48384,61.6001499999999993,0.16,949.500
2009-09-01,-1.88670630,-1.37794,63.9741699999999938,0.15,996.443
2009-10-01,-0.80983562,-0.22397,65.4323300000000074,0.12,1043.511
2009-11-01,-1.00561440,1.91459,66.3717999999999932,0.12,1126.119
2009-12-01,-1.21965670,2.81412,67.1646999999999963,0.12,1135.012
2010-01-01,-0.81215137,2.62111,67.9826099999999940,0.11,1119.575
2010-02-01,-1.06732520,2.15134,65.1309399999999954,0.13,1095.800
2010-03-01,-1.61830630,2.28617,68.8368600000000015,0.16,1115.554
2010-04-01,-0.44425119,2.20677,71.2205399999999997,0.20,1148.475
2010-05-01,-0.50458009,2.00355,65.5570799999999991,0.20,1204.321
2010-06-01,-0.38416424,1.12156,63.3849800000000059,0.18,1232.382
2010-07-01,-0.07004565,1.34078,63.6621099999999984,0.18,1196.000
2010-08-01,-0.68622794,1.15018,64.8323599999999942,0.19,1213.464
2010-09-01,-0.13733499,1.11831,66.9184800000000024,0.19,1271.461
2010-10-01,-1.00223790,1.16670,70.0758599999999916,0.19,1343.190
2010-11-01,-1.16548310,1.08454,71.2458299999999980,0.19,1371.784
2010-12-01,-0.93692711,1.43779,73.4390900000000215,0.18,1393.512
2011-01-01,-1.10898110,1.70078,75.8366299999999995,0.17,1360.475
2011-02-01,-1.37308600,2.12490,78.3819599999999781,0.16,1371.313
2011-03-01,-1.53354630,2.61924,77.4994200000000006,0.14,1422.848
2011-04-01,-1.46878210,3.07723,79.3437300000000221,0.10,1474.431
2011-05-01,-2.12289840,3.45897,78.7945199999999772,0.09,1512.188
2011-06-01,-2.04385660,3.50232,75.9440500000000043,0.09,1528.380
2011-07-01,-2.56603860,3.57988,77.6740999999999957,0.07,1568.526
2011-08-01,-1.29618830,3.75500,68.7667199999999923,0.10,1759.500
2011-09-01,-0.74655287,3.81262,66.5573300000000074,0.08,1780.648
2011-10-01,-1.59565640,3.52227,67.9488999999999947,0.07,1667.893
2011-11-01,-1.64115630,3.45143,68.6442100000000011,0.08,1735.977
2011-12-01,-1.95413670,3.06207,69.3681800000000095,0.07,1652.725
2012-01-01,-1.59499720,3.00877,72.3130500000000040,0.08,1656.095
2012-02-01,-1.66254900,2.89818,75.6141999999999967,0.10,1743.095
2012-03-01,-1.32757640,2.58288,76.4875499999999988,0.13,1675.057
2012-04-01,-1.87389300,2.27316,75.3468900000000019,0.14,1648.539
2012-05-01,-1.25001450,1.73794,72.1718099999999936,0.16,1585.114
2012-06-01,-0.35978255,1.65387,70.7619899999999973,0.16,1595.632
2012-07-01,-1.21090770,1.41751,72.7995099999999979,0.16,1592.784
2012-08-01,-1.16579480,1.68593,75.0352000000000032,0.13,1625.682
2012-09-01,-2.12467250,1.94972,77.4222500000000053,0.14,1741.925
2012-10-01,-1.67924670,2.15568,77.6091899999999981,0.16,1746.348
2012-11-01,-1.51823980,1.79602,76.1349300000000113,0.16,1724.352
2012-12-01,-2.48971230,1.75950,78.3935699999999969,0.16,1687.342
2013-01-01,-1.11616370,1.68406,81.9272600000000040,0.14,1671.886
2013-02-01,-0.94603683,2.01814,83.3436400000000219,0.15,1630.688
2013-03-01,0.48887020,1.51875,84.6809800000000052,0.14,1591.013
2013-04-01,-0.77068502,1.13881,85.1552599999999984,0.15,1485.905
2013-05-01,-0.51296752,1.39039,88.4166000000000025,0.11,1416.143
2013-06-01,-0.68342236,1.71579,86.2031900000000064,0.09,1342.700
2013-07-01,-0.16887147,1.88547,88.4996699999999947,0.09,1284.348
2013-08-01,-1.57304500,1.53881,88.9430499999999995,0.08,1345.048
2013-09-01,-1.35603460,1.09473,90.1150700000000029,0.08,1348.464
2013-10-01,-1.07562530,0.87680,92.1681399999999940,0.09,1314.402
2013-11-01,-1.01729450,1.23287,94.6492199999999997,0.08,1277.417
2013-12-01,-1.91457370,1.51284,95.0910899999999941,0.09,1221.588
2014-01-01,-1.34525250,1.55776,95.9823300000000046,0.07,1243.068
2014-02-01,-1.40151350,1.12047,95.3644699999999972,0.07,1298.713
